y_m,tau_kinematic_m2s2,tau_Pa,tau_over_tau_cr
-0.315285,0.00561997,5.6200,0.192889
-0.266780,0.00562057,5.6206,0.192910
-0.218275,0.00562120,5.6212,0.192932
-0.169769,0.00562161,5.6216,0.192946
-0.121264,0.00562178,5.6218,0.192952
-0.072758,0.00562185,5.6219,0.192954
-0.024253,0.00562197,5.6220,0.192958
0.024253,0.00562214,5.6221,0.192964
0.072758,0.00562207,5.6221,0.192961
0.121264,0.00562175,5.6218,0.192951
0.169769,0.00562133,5.6213,0.192936
0.218275,0.00562095,5.6210,0.192923
0.266780,0.00562062,5.6206,0.192912
0.315285,0.00562009,5.6201,0.192894
0.363791,0.00561901,5.6190,0.192856
0.412296,0.00561797,5.6180,0.192821
0.460802,0.00561689,5.6169,0.192784
0.509307,0.00561576,5.6158,0.192745
0.557813,0.00561427,5.6143,0.192694
0.606318,0.00561162,5.6116,0.192603
0.654824,0.00560913,5.6091,0.192517
0.703329,0.00560619,5.6062,0.192416
0.751835,0.00560274,5.6027,0.192298
0.800340,0.00559804,5.5980,0.192137
0.848846,0.00559177,5.5918,0.191921
0.897351,0.00558031,5.5803,0.191528
0.945856,0.00556461,5.5646,0.190989
0.994362,0.00556096,5.5610,0.190864
1.042867,0.00555953,5.5595,0.190815
1.091373,0.00546570,5.4657,0.187595
1.139878,0.00556407,5.5641,0.190971
1.188384,0.00559111,5.5911,0.191899
1.236889,0.00560326,5.6033,0.192316
1.285395,0.00559379,5.5938,0.191991
1.333900,0.00558630,5.5863,0.191734
1.382406,0.00558451,5.5845,0.191672
1.430911,0.00559223,5.5922,0.191937
1.479417,0.00548649,5.4865,0.188308
1.527922,0.00555071,5.5507,0.190512
1.576427,0.00558994,5.5899,0.191859
1.624933,0.00560462,5.6046,0.192363
1.673438,0.00560176,5.6018,0.192264
1.721944,0.00560007,5.6001,0.192206
1.770449,0.00549204,5.4920,0.188499
1.818955,0.00556420,5.5642,0.190975
1.867460,0.00560501,5.6050,0.192376
1.915966,0.00560469,5.6047,0.192365
1.964471,0.00560047,5.6005,0.192220
2.012977,0.00559619,5.5962,0.192073
2.061482,0.00551693,5.5169,0.189353
2.109987,0.00557793,5.5779,0.191447
2.158493,0.00560727,5.6073,0.192454
2.206998,0.00560742,5.6074,0.192459
2.255504,0.00549620,5.4962,0.188641
2.304009,0.00555749,5.5575,0.190745
2.352515,0.00561221,5.6122,0.192623
2.401020,0.00561312,5.6131,0.192654
2.449526,0.00550149,5.5015,0.188823
2.498031,0.00555395,5.5539,0.190623
2.546537,0.00561568,5.6157,0.192742
2.595042,0.00560811,5.6081,0.192482
2.643548,0.00551586,5.5159,0.189316
2.692053,0.00559934,5.5993,0.192182
2.740558,0.00561434,5.6143,0.192696
2.789064,0.00551188,5.5119,0.189179
2.837569,0.00555125,5.5512,0.190531
2.886075,0.00561478,5.6148,0.192711
2.934580,0.00550976,5.5098,0.189107
2.983086,0.00555026,5.5503,0.190497
3.031591,0.00561340,5.6134,0.192664
3.080097,0.00550664,5.5066,0.189000
3.128602,0.00555779,5.5578,0.190755
3.177108,0.00561000,5.6100,0.192547
3.225613,0.00551902,5.5190,0.189425
3.274119,0.00557819,5.5782,0.191456
3.322624,0.00560962,5.6096,0.192534
3.371129,0.00551552,5.5155,0.189305
3.419635,0.00558948,5.5895,0.191843
3.468140,0.00552701,5.5270,0.189699
3.516646,0.00558327,5.5833,0.191630
3.565151,0.00556104,5.5610,0.190867
3.613657,0.00552039,5.5204,0.189472
3.662162,0.00559670,5.5967,0.192091
3.710668,0.00551961,5.5196,0.189445
3.759173,0.00558519,5.5852,0.191696
3.807679,0.00552322,5.5232,0.189569
3.856184,0.00559448,5.5945,0.192015
3.904689,0.00550728,5.5073,0.189022
3.953195,0.00555688,5.5569,0.190724
4.001700,0.00552772,5.5277,0.189723
4.050206,0.00555194,5.5519,0.190555
4.098711,0.00552712,5.5271,0.189703
4.147217,0.00555092,5.5509,0.190520
4.195722,0.00552610,5.5261,0.189668
4.244228,0.00555064,5.5506,0.190510
4.292733,0.00552563,5.5256,0.189652
4.341239,0.00554964,5.5496,0.190475
4.389744,0.00552268,5.5227,0.189550
4.438250,0.00557784,5.5778,0.191443
4.486755,0.00552168,5.5217,0.189516
4.535260,0.00554538,5.5454,0.190329
4.583766,0.00552299,5.5230,0.189561
4.632271,0.00552293,5.5229,0.189559
4.680777,0.00556996,5.5700,0.191173
4.729282,0.00551904,5.5190,0.189425
4.777788,0.00557385,5.5738,0.191306
4.826293,0.00551512,5.5151,0.189291
4.874799,0.00551727,5.5173,0.189364
4.923304,0.00553313,5.5331,0.189909
4.971810,0.00553136,5.5314,0.189848
5.020315,0.00550521,5.5052,0.188951
5.068821,0.00551861,5.5186,0.189411
5.117326,0.00550275,5.5028,0.188866
5.165831,0.00551183,5.5118,0.189178
5.214337,0.00552413,5.5241,0.189600
5.262842,0.00551164,5.5116,0.189171
5.311348,0.00550460,5.5046,0.188930
5.359853,0.00550886,5.5089,0.189076
5.408359,0.00549794,5.4979,0.188701
5.456864,0.00548482,5.4848,0.188251
5.505370,0.00549104,5.4910,0.188464
5.553875,0.00548585,5.4858,0.188286
