y_m,tau_kinematic_m2s2,tau_Pa,tau_over_tau_cr
-0.316480,0.02200366,22.0037,0.755213
-0.267791,0.02200421,22.0042,0.755232
-0.219102,0.02200463,22.0046,0.755246
-0.170412,0.02200452,22.0045,0.755243
-0.121723,0.02200410,22.0041,0.755228
-0.073034,0.02200339,22.0034,0.755204
-0.024345,0.02200328,22.0033,0.755200
0.024345,0.02200327,22.0033,0.755200
0.073034,0.02200287,22.0029,0.755186
0.121723,0.02200203,22.0020,0.755157
0.170412,0.02200083,22.0008,0.755116
0.219102,0.02200022,22.0002,0.755095
0.267791,0.02199959,21.9996,0.755073
0.316480,0.02199834,21.9983,0.755031
0.365169,0.02199664,21.9966,0.754972
0.413859,0.02199356,21.9936,0.754866
0.462548,0.02199019,21.9902,0.754751
0.511237,0.02198642,21.9864,0.754621
0.559927,0.02198096,21.9810,0.754434
0.608616,0.02197366,21.9737,0.754183
0.657305,0.02196361,21.9636,0.753838
0.705994,0.02194836,21.9484,0.753315
0.754684,0.02192742,21.9274,0.752596
0.803373,0.02190155,21.9015,0.751708
0.852062,0.02186546,21.8655,0.750470
0.900751,0.02180707,21.8071,0.748466
0.949441,0.02169662,21.6966,0.744675
0.998130,0.02163789,21.6379,0.742659
1.046819,0.02160832,21.6083,0.741644
1.095508,0.02164905,21.6491,0.743042
1.144198,0.02169326,21.6933,0.744559
1.192887,0.02151707,21.5171,0.738512
1.241576,0.02188240,21.8824,0.751051
1.290265,0.02195205,21.9521,0.753442
1.338955,0.02191264,21.9126,0.752089
1.387644,0.02154004,21.5400,0.739300
1.436333,0.02201065,22.0107,0.755453
1.485023,0.02196036,21.9604,0.753727
1.533712,0.02170126,21.7013,0.744834
1.582401,0.02191411,21.9141,0.752140
1.631090,0.02199895,21.9990,0.755051
1.679780,0.02196792,21.9679,0.753986
1.728469,0.02153733,21.5373,0.739208
1.777158,0.02201914,22.0191,0.755744
1.825847,0.02172886,21.7289,0.745781
1.874537,0.02184352,21.8435,0.749717
1.923226,0.02203965,22.0397,0.756448
1.971915,0.02151178,21.5118,0.738331
2.020604,0.02195672,21.9567,0.753602
2.069294,0.02195926,21.9593,0.753689
2.117983,0.02157956,21.5796,0.740657
2.166672,0.02198512,21.9851,0.754577
2.215361,0.02139685,21.3969,0.734386
2.264051,0.02196625,21.9663,0.753929
2.312740,0.02139114,21.3911,0.734190
2.361429,0.02187834,21.8783,0.750912
2.410119,0.02129603,21.2960,0.730926
2.458808,0.02186075,21.8607,0.750308
2.507497,0.02122448,21.2245,0.728470
2.556186,0.02177682,21.7768,0.747427
2.604876,0.02113616,21.1362,0.725439
2.653565,0.02141654,21.4165,0.735062
2.702254,0.02138513,21.3851,0.733984
2.750943,0.02104376,21.0438,0.722267
2.799633,0.02144172,21.4417,0.735926
2.848322,0.02084604,20.8460,0.715481
2.897011,0.02105153,21.0515,0.722534
2.945700,0.02107626,21.0763,0.723383
2.994390,0.02058129,20.5813,0.706394
3.043079,0.02078861,20.7886,0.713510
3.091768,0.02076651,20.7665,0.712751
3.140457,0.02040934,20.4093,0.700493
3.189147,0.02034912,20.3491,0.698426
3.237836,0.02043974,20.4397,0.701536
3.286525,0.02042854,20.4285,0.701152
3.335215,0.02004362,20.0436,0.687940
3.383904,0.02002364,20.0236,0.687255
3.432593,0.02007678,20.0768,0.689078
3.481282,0.02012109,20.1211,0.690599
3.529972,0.01989928,19.8993,0.682986
3.578661,0.01969776,19.6978,0.676069
3.627350,0.01972309,19.7231,0.676939
3.676039,0.01964199,19.6420,0.674156
3.724729,0.01977158,19.7716,0.678603
3.773418,0.01962369,19.6237,0.673527
3.822107,0.01961970,19.6197,0.673390
3.870796,0.01954204,19.5420,0.670725
3.919486,0.01949040,19.4904,0.668952
3.968175,0.01973583,19.7358,0.677376
4.016864,0.01942376,19.4238,0.666665
4.065553,0.01939004,19.3900,0.665508
4.114243,0.01944739,19.4474,0.667476
4.162932,0.01941685,19.4168,0.666428
4.211621,0.01942948,19.4295,0.666861
4.260311,0.01939561,19.3956,0.665699
4.309000,0.01940309,19.4031,0.665956
4.357689,0.01938752,19.3875,0.665421
4.406378,0.01936726,19.3673,0.664726
4.455068,0.01936244,19.3624,0.664561
4.503757,0.01938103,19.3810,0.665199
4.552446,0.01937187,19.3719,0.664884
4.601135,0.01919706,19.1971,0.658884
4.649825,0.01931556,19.3156,0.662952
4.698514,0.01932901,19.3290,0.663413
4.747203,0.01935104,19.3510,0.664170
4.795892,0.01918397,19.1840,0.658435
4.844582,0.01928654,19.2865,0.661956
4.893271,0.01932089,19.3209,0.663135
4.941960,0.01915741,19.1574,0.657524
4.990649,0.01919439,19.1944,0.658793
5.039339,0.01927198,19.2720,0.661456
5.088028,0.01917904,19.1790,0.658266
5.136717,0.01923013,19.2301,0.660019
5.185407,0.01918271,19.1827,0.658392
5.234096,0.01918307,19.1831,0.658404
5.282785,0.01915160,19.1516,0.657324
5.331474,0.01910329,19.1033,0.655666
5.380164,0.01908440,19.0844,0.655018
5.428853,0.01908181,19.0818,0.654929
5.477542,0.01912229,19.1223,0.656318
5.526231,0.01898987,18.9899,0.651773
5.574921,0.01900294,19.0029,0.652222
5.623610,0.01892821,18.9282,0.649657
5.672299,0.01892226,18.9223,0.649453
5.720988,0.01886276,18.8628,0.647410
5.769678,0.01879239,18.7924,0.644995
5.818367,0.01869617,18.6962,0.641693
5.867056,0.01868750,18.6875,0.641395
5.915745,0.01859049,18.5905,0.638066
5.964435,0.01855155,18.5516,0.636729
6.013124,0.01839541,18.3954,0.631370
6.061813,0.01827829,18.2783,0.627350
6.110503,0.01816712,18.1671,0.623535
6.159192,0.01799098,17.9910,0.617489
6.207881,0.01791294,17.9129,0.614811
6.256570,0.01765956,17.6596,0.606114
6.305260,0.01751435,17.5144,0.601130
6.353949,0.01727932,17.2793,0.593063
6.402638,0.01696143,16.9614,0.582153
6.451327,0.01673215,16.7321,0.574283
6.500017,0.01644169,16.4417,0.564314
6.548706,0.01613430,16.1343,0.553764
6.597395,0.01574966,15.7497,0.540562
6.646084,0.01531611,15.3161,0.525682
6.694774,0.01480737,14.8074,0.508221
6.743463,0.01430239,14.3024,0.490889
6.792152,0.01378315,13.7831,0.473067
6.840841,0.01318047,13.1805,0.452382
6.889531,0.01253568,12.5357,0.430252
6.938220,0.01169980,11.6998,0.401562
6.986909,0.01075263,10.7526,0.369053
7.035599,0.00985876,9.8588,0.338374
7.084288,0.00878107,8.7811,0.301385
7.132977,0.00767169,7.6717,0.263309
7.181666,0.00615999,6.1600,0.211424
7.230356,0.00440727,4.4073,0.151267
7.279045,0.00294639,2.9464,0.101127
