Y,D,DEL
0,1,0.880943706
0.021505727,1,0.880943706
0.043011454,1,0.880943706
0.064517181,1,0.880943706
0.086022908,1,0.880943706
0.107528634,1,0.880943706
0.129034361,1,0.880943706
0.150540088,1,0.880943706
0.172045815,1,0.880943706
0.193551542,1,0.880943706
0.215057269,1,0.880943706
0.236562996,1,0.880943706
0.258068723,1,0.880943706
0.279574449,1,0.880943706
0.301080176,1,0.880943706
0.322585903,1,0.880943706
0.34409163,1,0.880943706
0.365597357,1,0.880943706
0.387103084,1,0.880943706
0.408608811,1,0.880943706
0.430104538,1,0.880943706
0.430104938,1,0.880943706
0.430105338,1,0.880943706
0.430105738,1,0.880943706
0.430106138,1,0.880943706
0.430106538,1,0.880943706
0.430106938,1,0.880943706
0.430107338,1,0.880943706
0.430107738,1,0.880943706
0.430108138,1,0.880943706
0.430108538,1,0.880943706
0.430108938,1,0.880943706
0.430109338,1,0.880943706
0.430109738,1,0.880943706
0.430110138,1,0.880943706
0.430110538,1,0.880943706
0.430110938,1,0.880943706
0.430111338,1,0.880943706
0.430111738,1,0.880943706
0.430112138,1,0.880943706
0.430112538,1,0.880943706
0.430112938,1,0.880943706
0.430113338,1,0.880943706
0.430113738,1,0.880943706
0.430114138,1,0.880943706
0.430114538,1,0.880943706
0.430270788,0.999999974,0.880943537
0.430427038,0.999999902,0.880943073
0.430583288,0.999999784,0.880942345
0.430895788,0.999999418,0.880940188
0.431208288,0.999998887,0.88093722
0.431520788,0.999998198,0.880933553
0.432145788,0.999996377,0.880924459
0.432770788,0.999994,0.880913422
0.433395788,0.999991105,0.880900794
0.434020788,0.999987721,0.88088683
0.435270788,0.999979584,0.880855626
0.436520788,0.99996975,0.880820917
0.437770788,0.999958347,0.880783438
0.439020788,0.999945476,0.880743706
0.440270788,0.999931222,0.880702103
0.442770788,0.999898841,0.880614394
0.445270788,0.999861677,0.880521987
0.447770788,0.999820096,0.880425989
0.450270788,0.999774396,0.880327171
0.452770788,0.999724825,0.88022609
0.457770788,0.999614883,0.880018712
0.462770788,0.999491639,0.879806166
0.467770788,0.999356159,0.87958989
0.472770788,0.999209297,0.879370822
0.477770788,0.999051759,0.879149592
0.487770788,0.998706942,0.878702251
0.497770788,0.998325526,0.878249976
0.507770788,0.997910416,0.877793784
0.517770788,0.997463907,0.877334123
0.527770788,0.996987852,0.876871133
0.547770788,0.995952975,0.875934932
0.567770788,0.994815364,0.87498394
0.587770788,0.993582035,0.874016394
0.607770788,0.992258308,0.873030445
0.627770788,0.990848325,0.872024335
0.667770788,0.987782082,0.86994535
0.707770788,0.984402788,0.867768283
0.747770788,0.980723579,0.86548414
0.787770788,0.976753589,0.86308556
0.867770788,0.967965252,0.857921465
0.947770788,0.958070214,0.852236041
1.027770788,0.947084181,0.845997343
1.187770788,0.921857091,0.831749627
1.347770788,0.892269004,0.814963856
1.507770788,0.858249852,0.795412884
1.667770788,0.819692423,0.772831579
1.827770788,0.776457115,0.746896086
1.987770788,0.728371065,0.717199959
2.147770788,0.675223786,0.683221761
2.307770788,0.616759604,0.644276949
2.467770788,0.552666121,0.599441782
2.787770788,0.405946487,0.486342744
2.947770788,0.322196628,0.413239358
3.107770788,0.230447188,0.323027568
3.187770788,0.18120079,0.268668442
3.267770788,0.129427667,0.205298283
3.307770788,0.102502447,0.168972148
3.327770788,0.08875913,0.149255859
3.347770788,0.074817973,0.128216841
3.367770788,0.060668157,0.105418696
3.377770788,0.053510279,0.093077995
3.387770788,0.046293238,0.079777915
3.397770788,0.039012215,0.064949541
3.407770788,0.03165871,0.047321303
3.412770788,0.027950056,0.036657654
3.415270788,0.026086447,0.030651862
3.417770788,0.02421599,0.024130836
3.420270788,0.022338176,0.017137785
3.421520788,0.02139639,0.01354135
3.422770788,0.020452673,0.009984135
3.424020788,0.019507091,0.006628762
3.425270788,0.01855983,0.003763936
3.425895788,0.018085679,0.002662984
3.426208288,0.017848503,0.002233172
