y_m,tau_kinematic_m2s2,tau_Pa,tau_over_tau_cr
-7.251566,0.00262711,2.6271,0.090168
-7.203061,0.00527344,5.2734,0.180996
-7.154555,0.00650873,6.5087,0.223394
-7.106050,0.00794016,7.9402,0.272523
-7.057544,0.00879052,8.7905,0.301710
-7.009039,0.01015260,10.1526,0.348459
-6.960533,0.01100435,11.0043,0.377693
-6.912028,0.01203731,12.0373,0.413146
-6.863522,0.01260030,12.6003,0.432470
-6.815017,0.01350282,13.5028,0.463446
-6.766512,0.01406298,14.0630,0.482672
-6.718006,0.01464055,14.6405,0.502495
-6.669501,0.01551450,15.5145,0.532491
-6.620995,0.01581477,15.8148,0.542797
-6.572490,0.01655270,16.5527,0.568124
-6.523984,0.01691634,16.9163,0.580605
-6.475479,0.01732228,17.3223,0.594538
-6.426973,0.01782802,17.8280,0.611896
-6.378468,0.01818212,18.1821,0.624050
-6.329962,0.01856855,18.5686,0.637313
-6.281457,0.01900224,19.0022,0.652198
-6.232952,0.01927270,19.2727,0.661480
-6.184446,0.01968888,19.6889,0.675765
-6.135941,0.01969173,19.6917,0.675863
-6.087435,0.02010589,20.1059,0.690077
-6.038930,0.02033094,20.3309,0.697802
-5.990424,0.02058160,20.5816,0.706405
-5.941919,0.02066112,20.6611,0.709134
-5.893413,0.02093713,20.9371,0.718607
-5.844908,0.02120618,21.2062,0.727842
-5.796402,0.02124672,21.2467,0.729233
-5.747897,0.02142277,21.4228,0.735276
-5.699391,0.02142984,21.4298,0.735518
-5.650886,0.02166501,21.6650,0.743590
-5.602381,0.02188386,21.8839,0.751101
-5.553875,0.02186953,21.8695,0.750609
-5.505370,0.02198108,21.9811,0.754438
-5.456864,0.02193025,21.9302,0.752693
-5.408359,0.02213104,22.1310,0.759585
-5.359853,0.02230492,22.3049,0.765553
-5.311348,0.02226037,22.2604,0.764024
-5.262842,0.02232183,22.3218,0.766133
-5.214337,0.02253545,22.5355,0.773465
-5.165831,0.02240557,22.4056,0.769007
-5.117326,0.02230713,22.3071,0.765629
-5.068821,0.02252556,22.5256,0.773126
-5.020315,0.02248858,22.4886,0.771856
-4.971810,0.02263321,22.6332,0.776821
-4.923304,0.02274630,22.7463,0.780702
-4.874799,0.02256286,22.5629,0.774406
-4.826293,0.02257650,22.5765,0.774874
-4.777788,0.02310004,23.1000,0.792843
-4.729282,0.02261640,22.6164,0.776244
